epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,learning_rate,is_best_epoch,model_name
0,1.1182153224945068,1.1872121095657349,0.4,0.34,0.001,True,gru_small
1,1.1081596612930298,1.1860467195510864,0.38,0.42,0.001,True,gru_small
0,1.1083593368530273,1.1837587356567383,0.22,0.27,0.001,True,gru_deep
1,1.1064685583114624,1.181768536567688,0.26,0.31,0.001,True,gru_deep
0,1.1087950468063354,1.1886405944824219,0.45,0.4,0.001,True,lstm_deep
1,1.109513282775879,1.188348650932312,0.4,0.44,0.001,True,lstm_deep
0,1.1278092861175537,1.2189900875091553,0.6,0.54,0.001,True,conv1d_small
1,1.1266911029815674,1.2161948680877686,0.54,0.57,0.001,True,conv1d_small
0,1.1117467880249023,1.181111454963684,0.23,0.31,0.001,True,conv1d_deep
1,1.1073559522628784,1.1822024583816528,0.23,0.34,0.001,False,conv1d_deep
0,1.0789161920547485,1.382927417755127,0.8,0.76,0.001,True,conv1d_multiscale
1,1.0988187789916992,1.3914262056350708,0.8,0.76,0.001,False,conv1d_multiscale
