check_name,passed,details
raw_sha256_matches,True,
exact_manifest_schema,True,
unique_and_complete_ids,True,
manifest_targets_match_raw,True,
no_id_overlap,True,
no_stable_predictor_group_overlap,True,
all_seven_locked_audit_values,True,
exact_temporal_chronology_and_channel_order,True,
all_23_tabular_raw_predictors_represented,True,
id_excluded,True,
target_excluded,True,
output_row_counts_match,True,
all_values_finite,True,
float32_feature_arrays,True,
temporal_scaler_parameters_equal_training_only,True,
static_and_tabular_continuous_scaler_parameters_exist,True,
training_only_one_hot_categories_exist,True,
processed_npz_ids_targets_match_manifest,True,
group_hash_collision_absence,True,
target_values_only_0_1,True,
class_counts_reconcile,True,
class_weights_exactly_use_training_labels_only,True,
