ID,split,default payment next month,predictor_group_id
1,train,1,f61dc9bc2ca92cbc7b445d054b8a046e
2,test,1,cb178ab784816f666d7df4162acfeccd
3,train,0,43fcbf19d2cd8b6354096b8751a48c90
4,validation,0,af7aa26fd83e7334759e2d0e24d69433
5,train,0,3b6be606aa9eb7d1b5090979094535d6
6,train,0,dd20eed70373596ac5c7e1a9a2317ec0
7,train,0,3f6e67c7b0d94921189a51e56a4bf782
8,test,0,de0426717250a693576661ed9a9c2efc
9,train,0,439b19e329ce71f834883084bfa748cd
10,train,0,8c59c879791dfb1faa90e6f9ede35983
11,train,0,fde09b7fac6dba99d2024ad55ba2c1dd
12,train,0,ea2873b82d8b256ba3df6f8c5bdbd77b
13,train,0,c2ff13fd10b1b8b8138bdf9a3fa2b8ea
14,train,1,86a433c7ef05ca9a72649f94eb550185
15,train,0,4dc9cbcad23b5aad83b2992013007507
16,train,0,b2336daec6c69d068c9634e90d91073d
17,test,1,975032d351c3423fa3a894ce5adc60df
18,train,0,8633673253d1450f3e26f52c4bb968c9
19,test,0,ee455c7cc7374ab0778bec82afedeb6b
20,train,0,d016cab6fad604864635215161c4c72d
21,test,0,cddfbab1837fc1e2a4358972fbf86a92
22,validation,1,a4f8f3fefbaabd6dc81ecf012f951c1f
23,validation,1,d603858376bb3896d5fc7933be73b915
24,train,1,8cf134567c93f7a1092fc07abade5242
25,train,0,8e0c01ed3ae8c5bdd1b2182c478878b2
26,train,0,9db15786dc68a3d67dfeafdc00db0207
27,train,1,e8f04a920a2ba0a364928e0a60523c53
28,train,0,8c440224b26dea22dfb00e239634c4d3
29,train,0,952b45819c394b799fc508496d4271d7
30,train,0,e17eab527c7b11fdd6ac0797e75de74f
31,train,0,499b9425ef1f7bdd0b99f4dc807823c5
32,train,1,72f571ee910cc5b7953e78217f524c5f
33,train,0,8dba9465b39f295f9a4c80c98173b47a
34,train,0,77ad4e0c5fd17251693efc5de7087da5
35,test,0,02f158ed26475345620cebb89e222de6
36,validation,0,2fd3e565186a74ea69c52c31f0aeab12
37,test,0,30631a586ed5a018ec659d14dfd80c2a
38,test,0,225b6b4d91ac4e1fd8ee82f19af0b888
39,validation,1,9e7d2fa0688f42920bc731782d6932b6
40,train,0,d75cddbcd001cf5328f4c0f513eec5ce
41,validation,0,3fe539e328579ec32836682c4a17f87c
42,train,0,e14cca094f7cd337940ce74fdcb4d300
43,train,0,5fe2f721988a117e9120d8a8220e9157
44,validation,0,a20090de8568773d5d318bb01573f345
45,train,0,3cc0748da47bb9ae97dcb3cec2431aec
