check_name,passed,details
split_manifest_exists,True,
split_lock_exists,True,
frozen_manifest_sha_correct,True,
candidates_exact_match,True,
checkpoint_sha_match,True,
threshold_lock_self_hash,True,
tlock_manifest_sha,True,
tlock_val_pred_sha,True,
tlock_cand_sha,True,
tlock_checkpoint_shas,True,
tlock_thresholds,True,
tlock_primary_candidate,True,
elock_tlock_sha,True,
elock_final_pred_sha,True,
elock_checkpoint_shas,True,
elock_device_recorded,True,
elock_total_rows,True,
elock_per_model_rows,True,
preds_total_rows,True,
preds_6000_per_model,True,
preds_ids_identical,True,
preds_targets_identical,True,
preds_probs_valid,True,
preds_binary,True,
preds_reconcile,True,
preds_id_hash_match,True,
preds_target_hash_match,True,
results_six_rows,True,
results_3_models_2_modes,True,
results_confusion_sum,True,
results_metric_recompute,True,
results_checkpoint_shas_match,True,
results_prediction_file_shas_match,True,
results_gru_primary,True,
decision_gru_primary,True,
decision_no_tuning_statement,True,
