chronological_index,month,target,sign_category,count,percentage
1,April,0,negative,555,2.3754494093477145
1,April,0,zero,3067,13.127033042287279
1,April,0,positive,19742,84.49751754836501
1,April,1,negative,133,2.0042194092827006
1,April,1,zero,953,14.361060880048221
1,April,1,positive,5550,83.63471971066907
2,May,0,negative,525,2.247046738572162
2,May,0,zero,2641,11.30371511727444
2,May,0,positive,20198,86.4492381441534
2,May,1,negative,130,1.959011452682339
2,May,1,zero,865,13.034960819770946
2,May,1,positive,5641,85.00602772754672
3,June,0,negative,557,2.384009587399418
3,June,0,zero,2414,10.332134908406095
3,June,0,positive,20393,87.28385550419449
3,June,1,negative,118,1.778179626280892
3,June,1,zero,781,11.76913803496082
3,June,1,positive,5737,86.4526823387583
4,July,0,negative,526,2.2513268275980143
4,July,0,zero,2180,9.330594076356787
4,July,0,positive,20658,88.4180790960452
4,July,1,negative,129,1.9439421338155516
4,July,1,zero,690,10.397830018083184
4,July,1,positive,5817,87.65822784810126
5,August,0,negative,542,2.319808252011642
5,August,0,zero,1889,8.085088169833933
5,August,0,positive,20933,89.59510357815442
5,August,1,negative,127,1.9138034960819772
5,August,1,zero,617,9.297769740807716
5,August,1,positive,5892,88.78842676311031
6,September,0,negative,481,2.058722821434686
6,September,0,zero,1474,6.308851224105462
6,September,0,positive,21409,91.63242595445985
6,September,1,negative,109,1.642555756479807
6,September,1,zero,534,8.047016274864376
6,September,1,positive,5993,90.31042796865582
