chronological_index,month,category,total_count,population_percentage,default_count,non_default_count,default_rate,caution_flag
1,April,bill_nonpositive_payment_zero,3704,12.346666666666668,922,2782,0.24892008639308855,False
1,April,bill_nonpositive_payment_positive,1004,3.3466666666666667,164,840,0.16334661354581673,False
1,April,bill_positive_payment_zero,3469,11.563333333333334,1156,2313,0.3332372441625829,False
1,April,bill_positive_payment_positive,21823,72.74333333333334,4394,17429,0.20134720249278285,False
2,May,bill_nonpositive_payment_zero,3157,10.523333333333333,816,2341,0.25847323408299017,False
2,May,bill_nonpositive_payment_positive,1004,3.3466666666666667,179,825,0.17828685258964144,False
2,May,bill_positive_payment_zero,3546,11.82,1154,2392,0.3254371122391427,False
2,May,bill_positive_payment_positive,22293,74.31,4487,17806,0.20127394249315927,False
3,June,bill_nonpositive_payment_zero,2796,9.32,730,2066,0.26108726752503575,False
3,June,bill_nonpositive_payment_positive,1074,3.58,169,905,0.15735567970204842,False
3,June,bill_positive_payment_zero,3612,12.04,1263,2349,0.3496677740863787,False
3,June,bill_positive_payment_positive,22518,75.06,4474,18044,0.19868549604760635,False
4,July,bill_nonpositive_payment_zero,2572,8.573333333333332,666,1906,0.25894245723172626,False
4,July,bill_nonpositive_payment_positive,953,3.1766666666666667,153,800,0.16054564533053514,False
4,July,bill_positive_payment_zero,3396,11.32,1265,2131,0.37249705535924615,False
4,July,bill_positive_payment_positive,23079,76.92999999999999,4552,18527,0.19723558213094156,False
5,August,bill_nonpositive_payment_zero,2190,7.3,570,1620,0.2602739726027397,False
5,August,bill_nonpositive_payment_positive,985,3.283333333333333,174,811,0.1766497461928934,False
5,August,bill_positive_payment_zero,3206,10.686666666666667,1229,1977,0.38334373050530257,False
5,August,bill_positive_payment_positive,23619,78.73,4663,18956,0.1974258012616961,False
6,September,bill_nonpositive_payment_zero,1754,5.846666666666667,497,1257,0.28335233751425315,False
6,September,bill_nonpositive_payment_positive,844,2.8133333333333335,146,698,0.17298578199052134,False
6,September,bill_positive_payment_zero,3495,11.65,1390,2105,0.3977110157367668,False
6,September,bill_positive_payment_positive,23907,79.69000000000001,4603,19304,0.1925377504496591,False
