chronological_index,month,sign_category,total_count,population_percentage,default_count,non_default_count,default_rate,observed_combination,caution_flag
1,April,negative,0,0.0,0,0,,False,False
1,April,zero,7173,23.91,2078,5095,0.2896974766485432,True,False
1,April,positive,22827,76.09,4558,18269,0.1996758224909099,True,False
2,May,negative,0,0.0,0,0,,False,False
2,May,zero,6703,22.343333333333334,1970,4733,0.2938982545129047,True,False
2,May,positive,23297,77.65666666666667,4666,18631,0.20028329827874833,True,False
3,June,negative,0,0.0,0,0,,False,False
3,June,zero,6408,21.36,1993,4415,0.3110174781523096,True,False
3,June,positive,23592,78.64,4643,18949,0.196804001356392,True,False
4,July,negative,0,0.0,0,0,,False,False
4,July,zero,5968,19.89333333333333,1931,4037,0.32355898123324395,True,False
4,July,positive,24032,80.10666666666667,4705,19327,0.1957806258322237,True,False
5,August,negative,0,0.0,0,0,,False,False
5,August,zero,5396,17.986666666666668,1799,3597,0.33339510748702744,True,False
5,August,positive,24604,82.01333333333334,4837,19767,0.19659404974800845,True,False
6,September,negative,0,0.0,0,0,,False,False
6,September,zero,5249,17.496666666666666,1887,3362,0.3594970470565822,True,False
6,September,positive,24751,82.50333333333333,4749,20002,0.19187103551371662,True,False
